Рогатая гвардия [r31];https://g1.botva.ru/clan_members.php?id=21148
Sollia;52.398.600.999;Маркиза;2.620.067.651
ASCENDANT;52.398.600.999;Элита Гвардии;2.620.078.877
_Фея Лана_;52.398.600.999;Элита Гвардии;2.619.987.236
T@nk;52.398.600.999;Элита Гвардии;2.620.078.735
Катберт;52.398.600.999;Элита Гвардии;2.620.090.905
Бродвей;52.398.600.999;Элита Гвардии;2.620.066.374
Jah Mason;52.398.600.999;Капитан;2.620.071.304
Ласт Перейро;52.398.600.999;Элита Гвардии;2.620.089.191
~Мальвина~;52.398.600.999;Маркиза;2.620.081.549
Задумавшийся;52.398.600.999;Неактив;2.620.091.663
~КоВбоЙ ХаГиС~;52.398.600.999;Капитан;2.620.076.416
Зверь Это Я;52.398.600.999;Элита Гвардии;2.620.079.888
DomInatoR.;52.398.600.999;Капитан;2.620.078.584
Fon Dorf;52.398.600.999;Элита Гвардии;2.620.082.802
Ruslan);52.398.600.999;Капрал;2.620.061.456
DambLDoR;52.398.600.999;Элита Гвардии;2.620.074.359
Димсонхрендель;52.398.600.999;Капитан;2.620.057.833
Mental1tet;52.398.600.999;Капитан;2.620.084.630
бешка-бебешка_;52.398.600.999;Элита Гвардии;2.620.088.448
~Бармалей~;52.398.600.999;Элита Гвардии;2.620.079.372
danilRoman;52.398.600.999;Капитан;2.620.077.784
walmau 6altau;52.398.600.999;Элита Гвардии;2.620.063.942
*Милка;52.398.600.999;Элита Гвардии;2.620.073.247
*МАРТИНА*;52.398.600.999;Маркиза;2.620.070.825
**SUPERHelen**;52.398.600.999;Элита Гвардии;2.620.066.012
=ЛюЛюНдРа=;52.398.600.999;Элита Гвардии;2.620.025.715
Ice flame;52.398.600.999;Вожак;2.620.077.497
dodid;52.398.600.999;Капитан;2.620.021.380
Bravan;52.398.600.999;Элита Гвардии;2.620.073.645
~Цветанка~;52.398.600.999;Маркиза;2.620.076.705
ANTONanarivo;52.398.600.999;Неактив;2.620.087.417
То4е4ка;52.398.600.999;Графиня;2.620.064.034
Ragnar Lodbrok;52.398.600.995;Капитан;2.620.076.784
DIMolition;52.398.600.993;Капитан;2.620.086.447
AYEC;52.398.600.990;Неактив;2.620.070.527
GoldGirl.;52.398.600.983;Замвож;2.620.095.610
Jateed;52.315.910.297;Капитан;2.615.936.298
zabu;52.177.786.272;Элита Гвардии;2.609.045.597
Chokkolatta;51.051.936.095;Маркиза;2.552.662.487
Очень синяя борода;47.678.126.997;Корнет;2.384.051.638
Матюслик;45.453.230.575;Графиня;2.272.743.607
barantya;45.356.375.119;Маркиза;2.267.921.998
:Сотофа Ханемер:;42.174.058.221;Маркиза;2.108.770.031
*Kronos*;40.508.826.194;Капитан;2.025.483.988
BarDuck;39.048.908.705;Корнет;1.952.514.339
~DROSSEL~;34.785.721.200;Элита Гвардии;1.739.411.146
StasLz42;33.052.671.919;Адъютант;1.652.678.323
DYNA;31.175.037.766;Графиня;1.558.834.418
К@манчик;25.872.407.096;Корнет;1.293.692.786
d_MIX_b;19.299.209.945;Капрал;965.048.569
Knowhere;14.303.907.006;Корнет;715.312.104
-Brain-;14.226.418.271;Капитан;711.357.638
Katolik;13.668.484.014;Капрал;683.503.738
Pyrojok;6.779.778.299;Корнет;339.007.633
NeXTY;6.119.387.010;Графиня;306.001.128
метрономикс;2.741.669.707;Капрал;137.120.270
Макыс;2.658.951.795;Капитан;133.005.364
THE MECHANIC;2.593.170.605;Корнет;129.665.403
Kerberos;2.482.971.065;Капитан;124.179.185
IluXxxXa1989;211.456.760;Эсквайр;10.583.220
